Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,-41.544,0.996,0.17,300,0.193083
2,-46.533,0.992,0.3,600,0.206528
3,-46.88,0.988,0.33,900,0.203539
4,-32.798,0.984,0.18,1199,0.171598
5,-25.696,0.98,0.18,1499,0.155279
6,-27.442,0.976,0.14,1799,0.162773
7,-40.059,0.972,0.21,2099,0.193703
8,-29.561,0.968,0.13,2399,0.165704
9,-49.78,0.965,0.32,2699,0.214858
10,-43.076,0.961,0.31,2999,0.199666
11,-50.727,0.957,0.31,3299,0.219065
12,-23.633,0.953,0.14,3599,0.159199
13,-30.548,0.949,0.2,3899,0.171902
14,-28.501,0.945,0.34,4199,0.15692
15,-47.135,0.942,0.25,4499,0.210988
16,-46.888,0.938,0.42,4799,0.204618
17,-54.606,0.934,0.4,5098,0.223129
18,-26.465,0.93,0.2,5398,0.162309
19,-31.574,0.927,0.2,5698,0.171199
20,-27.175,0.923,0.14,5998,0.157708
21,-16.515,0.919,0.19,6298,0.15761
22,-39.329,0.916,0.37,6598,0.196709
23,-29.611,0.912,0.23,6898,0.172072
24,-33.807,0.908,0.28,7197,0.178271
25,-34.954,0.905,0.34,7497,0.183116
26,-31.089,0.901,0.25,7797,0.172268
27,-37.396,0.897,0.39,8096,0.183568
28,-32.151,0.894,0.32,8396,0.166263
29,-41.425,0.89,0.36,8696,0.204114
30,-33.934,0.887,0.26,8996,0.168861
31,-31.463,0.883,0.18,9295,0.168868
32,-38.742,0.88,0.27,9595,0.188342
33,-11.681,0.876,0.22,9895,0.128362
34,-21.372,0.873,0.27,10195,0.155081
35,-25.114,0.869,0.23,10495,0.156699
36,-24.674,0.866,0.37,10795,0.147642
37,-21.298,0.862,0.35,11095,0.148262
38,-17.813,0.859,0.27,11395,0.148162
39,-33.777,0.855,0.44,11695,0.172621
40,-26.771,0.852,0.24,11994,0.166167
41,-34.069,0.848,0.41,12294,0.179514
42,-15.095,0.845,0.21,12594,0.131506
43,-18.465,0.842,0.21,12894,0.145478
44,-29.758,0.838,0.41,13194,0.160944
45,-38.946,0.835,0.39,13494,0.185021
46,-15.102,0.832,0.18,13794,0.139272
47,-13.029,0.828,0.3,14094,0.124203
48,-29.005,0.825,0.43,14394,0.161929
49,-20.962,0.822,0.27,14694,0.148104
50,-16.559,0.818,0.22,14993,0.148618
51,-33.041,0.815,0.49,15292,0.174026
52,-13.176,0.812,0.24,15592,0.134267
53,-30.386,0.809,0.53,15892,0.165543
54,-14.512,0.805,0.34,16191,0.134101
55,-17.995,0.802,0.47,16491,0.13698
56,-13.823,0.799,0.66,16790,0.12618
57,-41.199,0.796,0.83,17090,0.196281
58,-12.67,0.793,0.3,17390,0.129873
59,-0.907,0.789,0.34,17690,0.116576
60,-22.781,0.786,0.48,17989,0.14565
61,-24.095,0.783,0.36,18288,0.151913
62,-10.22,0.78,0.29,18588,0.136082
63,3.569,0.777,0.47,18887,0.105096
64,-22.056,0.774,0.43,19186,0.149482
65,-17.039,0.771,0.4,19485,0.145829
66,-8.595,0.768,0.29,19784,0.125484
67,-7.002,0.764,0.26,20084,0.12211
68,-35.595,0.761,0.57,20384,0.182279
69,-27.919,0.758,0.55,20684,0.161183
70,-22.702,0.755,0.49,20984,0.147478
71,-26.145,0.752,0.42,21283,0.155717
72,-10.43,0.749,0.49,21582,0.134949
73,-21.638,0.746,0.52,21881,0.137575
74,-25.732,0.743,0.47,22180,0.16345
75,-13.803,0.74,0.41,22480,0.129284
76,-4.222,0.737,0.37,22780,0.113534
77,-14.692,0.734,0.34,23079,0.13606
78,-23.029,0.732,0.47,23379,0.159536
79,-13.569,0.729,0.47,23679,0.122139
80,-20.467,0.726,0.36,23978,0.145152
81,-3.342,0.723,0.35,24278,0.121827
82,-30.862,0.72,0.55,24577,0.162471
83,-23.435,0.717,0.59,24877,0.154042
84,-18.417,0.714,0.64,25176,0.132633
85,-10.343,0.711,0.62,25476,0.124828
86,-20.633,0.708,0.59,25776,0.144254
87,-22.893,0.706,0.62,26075,0.156568
88,0.539,0.703,0.73,26374,0.101556
89,6.427,0.7,0.56,26674,0.097773
90,-22.446,0.697,0.51,26973,0.14553
91,-16.984,0.694,0.8,27273,0.129372
92,-11.757,0.692,0.61,27572,0.121967
93,-2.111,0.689,0.6,27871,0.105166
94,-17.404,0.686,0.59,28171,0.133119
95,-0.563,0.683,0.37,28470,0.112747
96,-31.227,0.681,0.64,28770,0.165352
97,-7.247,0.678,0.57,29070,0.123791
98,-21.114,0.675,0.77,29369,0.150325
99,-6.292,0.672,0.71,29669,0.120553
100,6.819,0.67,0.49,29968,0.099626
101,-17.701,0.667,0.73,30268,0.135682
102,10.595,0.664,0.49,30567,0.0995
103,-11.301,0.662,0.55,30866,0.124939
104,1.655,0.659,0.55,31165,0.103133
105,-32.643,0.656,0.73,31465,0.172229
106,-5.554,0.654,0.61,31764,0.107015
107,-7.581,0.651,0.59,32064,0.113567
108,3.347,0.649,0.61,32363,0.104174
109,16.911,0.646,0.7,32663,0.083853
110,11.705,0.643,0.76,32963,0.091283
111,-1.073,0.641,0.76,33262,0.105943
112,8.438,0.638,0.82,33561,0.084247
113,-4.688,0.636,0.75,33860,0.115835
114,-12.869,0.633,0.69,34159,0.13366
115,-5.657,0.631,0.57,34458,0.122568
116,-24.643,0.628,0.8,34757,0.149394
117,-8.011,0.626,0.92,35056,0.116896
118,13.097,0.623,0.62,35355,0.081096
119,-24.868,0.621,0.75,35654,0.155196
120,7.77,0.618,0.68,35954,0.094137
121,-1.969,0.616,0.72,36254,0.102016
122,6.361,0.613,0.51,36553,0.111911
123,13.0,0.611,0.54,36852,0.083612
124,11.026,0.608,0.62,37151,0.102938
125,-12.478,0.606,0.88,37450,0.129126
126,3.62,0.603,0.94,37750,0.074653
127,12.347,0.601,0.75,38049,0.07657
128,-3.001,0.599,0.79,38348,0.10597
129,-18.823,0.596,0.76,38648,0.14072
130,11.933,0.594,0.68,38947,0.092008
131,1.424,0.592,0.86,39246,0.088025
132,3.491,0.589,0.9,39546,0.082725
133,8.489,0.587,0.68,39845,0.095718
134,-16.137,0.584,0.9,40145,0.13307
135,4.998,0.582,0.67,40444,0.102409
136,14.23,0.58,0.93,40743,0.08245
137,2.283,0.577,0.85,41042,0.089149
138,1.086,0.575,0.77,41341,0.090231
139,-0.915,0.573,0.71,41640,0.106547
140,7.097,0.571,0.67,41939,0.098518
141,14.816,0.568,0.71,42238,0.089831
142,-5.866,0.566,0.84,42538,0.112516
143,6.698,0.564,0.67,42837,0.094838
144,13.422,0.561,0.81,43136,0.089241
145,-5.374,0.559,0.95,43435,0.098513
146,27.652,0.557,0.65,43735,0.099129
147,-4.773,0.555,0.91,44034,0.110949
148,0.04,0.553,0.86,44333,0.10392
149,16.665,0.55,0.7,44633,0.090154
150,13.039,0.548,0.75,44933,0.08488
151,-3.414,0.546,0.98,45232,0.108905
152,9.349,0.544,0.83,45531,0.095815
153,3.224,0.542,0.95,45831,0.080661
154,6.073,0.539,0.83,46130,0.088448
155,14.014,0.537,0.69,46429,0.089027
156,20.575,0.535,0.72,46728,0.088991
157,3.418,0.533,0.82,47027,0.081919
158,17.366,0.531,0.79,47326,0.077552
159,-1.105,0.529,0.83,47625,0.107761
160,9.171,0.527,0.84,47924,0.084258
161,25.169,0.525,0.76,48223,0.088337
162,4.936,0.522,0.89,48522,0.08598
163,27.522,0.52,0.92,48821,0.094261
164,19.079,0.518,0.88,49120,0.093447
165,-9.631,0.516,0.97,49419,0.130194
166,4.968,0.514,1.08,49718,0.082918
167,19.182,0.512,1.15,50017,0.077934
168,10.557,0.51,1.15,50316,0.091493
