Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,30.266,0.996,0.18,300,0.104309
2,23.271,0.992,0.18,600,0.088126
3,27.952,0.988,0.15,900,0.100136
4,26.671,0.984,0.25,1200,0.090506
5,16.797,0.98,0.25,1500,0.06862
6,19.886,0.976,0.24,1800,0.079559
7,17.248,0.972,0.33,2100,0.062333
8,26.61,0.968,0.2,2400,0.098273
9,30.391,0.965,0.1,2700,0.113682
10,31.301,0.961,0.08,3000,0.112449
11,14.342,0.957,0.42,3299,0.057646
12,27.095,0.953,0.29,3599,0.092237
13,31.144,0.949,0.09,3898,0.113988
14,32.58,0.945,0.1,4198,0.11407
15,23.695,0.942,0.19,4498,0.085954
16,7.594,0.938,0.26,4798,0.085461
17,26.586,0.934,0.28,5098,0.090945
18,33.496,0.93,0.12,5398,0.116457
19,32.131,0.927,0.19,5697,0.112585
20,29.418,0.923,0.15,5997,0.09963
21,22.637,0.919,0.24,6297,0.088634
22,29.512,0.916,0.23,6597,0.10103
23,19.824,0.912,0.43,6897,0.070278
24,30.113,0.908,0.2,7197,0.109246
25,27.411,0.905,0.28,7496,0.094583
26,21.66,0.901,0.42,7796,0.082253
27,16.743,0.897,0.44,8095,0.066328
28,18.645,0.894,0.34,8395,0.071295
29,7.258,0.89,0.59,8695,0.054909
30,17.831,0.887,0.51,8994,0.074992
31,14.929,0.883,0.53,9294,0.060026
32,35.441,0.88,0.17,9593,0.12131
33,21.085,0.876,0.4,9893,0.072205
34,29.309,0.873,0.25,10193,0.106962
35,35.968,0.869,0.18,10493,0.124165
36,26.339,0.866,0.4,10793,0.096998
37,20.024,0.862,0.4,11092,0.068638
38,16.918,0.859,0.5,11392,0.071266
39,25.685,0.855,0.35,11692,0.09317
40,27.253,0.852,0.44,11991,0.093873
41,25.752,0.848,0.29,12291,0.097769
42,15.945,0.845,0.67,12590,0.061019
43,35.448,0.842,0.2,12889,0.120847
44,22.158,0.838,0.36,13189,0.079951
45,16.641,0.835,0.74,13489,0.060829
46,35.631,0.832,0.27,13788,0.122762
47,29.669,0.828,0.32,14087,0.108027
48,28.691,0.825,0.32,14387,0.101357
49,33.329,0.822,0.26,14687,0.11276
50,25.575,0.818,0.54,14987,0.087751
51,28.647,0.815,0.61,15287,0.100394
52,28.779,0.812,0.5,15587,0.097187
53,37.45,0.809,0.25,15886,0.128987
54,25.265,0.805,0.42,16186,0.088902
55,35.7,0.802,0.25,16486,0.120875
56,31.857,0.799,0.42,16786,0.116151
57,29.224,0.796,0.43,17086,0.104803
58,34.794,0.793,0.3,17385,0.119189
59,24.15,0.789,0.58,17684,0.0823
60,14.311,0.786,0.83,17984,0.059964
61,33.477,0.783,0.94,18284,0.11318
62,21.159,0.78,0.92,18584,0.073691
63,21.982,0.777,0.96,18884,0.074081
64,12.131,0.774,1.76,19184,0.056202
65,35.398,0.771,0.6,19484,0.120805
66,35.787,0.768,0.41,19783,0.122938
67,32.932,0.764,0.49,20083,0.111365
68,31.969,0.761,0.39,20383,0.114186
69,19.227,0.758,0.63,20682,0.068973
70,34.746,0.755,0.35,20981,0.122309
71,21.698,0.752,0.53,21281,0.078874
72,23.437,0.749,0.51,21580,0.080198
73,22.112,0.746,0.5,21879,0.075126
74,16.419,0.743,0.68,22179,0.065054
75,14.349,0.74,0.54,22478,0.060136
76,35.862,0.737,0.3,22778,0.121117
77,27.107,0.734,0.45,23078,0.092832
78,19.417,0.732,0.53,23377,0.071089
79,19.848,0.729,0.47,23676,0.072993
80,18.783,0.726,0.52,23975,0.069179
81,18.697,0.723,0.6,24274,0.067008
82,24.719,0.72,0.52,24573,0.090065
83,35.801,0.717,0.37,24873,0.126532
84,16.773,0.714,0.82,25172,0.072042
85,18.349,0.711,0.69,25471,0.066216
86,34.484,0.708,0.35,25771,0.11916
87,23.693,0.706,0.48,26071,0.080965
88,27.479,0.703,0.47,26371,0.110214
89,26.115,0.7,0.63,26670,0.10028
90,36.087,0.697,0.51,26969,0.123616
91,18.403,0.694,0.72,27268,0.071984
92,20.738,0.692,0.67,27568,0.077781
93,34.377,0.689,0.44,27867,0.120949
94,17.455,0.686,0.71,28166,0.066499
95,36.153,0.683,0.53,28465,0.123135
96,28.878,0.681,0.74,28765,0.104086
97,34.127,0.678,0.5,29065,0.116669
98,25.173,0.675,0.61,29365,0.093291
99,17.825,0.672,0.67,29665,0.066089
100,37.467,0.67,0.36,29964,0.131413
101,32.64,0.667,0.53,30264,0.114687
102,27.509,0.664,0.59,30564,0.092982
103,17.465,0.662,0.66,30863,0.072903
104,25.181,0.659,0.68,31162,0.08601
105,29.841,0.656,0.72,31461,0.101139
106,21.024,0.654,0.79,31760,0.073656
107,35.372,0.651,0.56,32059,0.119373
108,31.192,0.649,0.57,32359,0.105159
109,33.331,0.646,0.71,32659,0.114798
110,25.4,0.643,0.76,32959,0.085843
111,37.408,0.641,0.72,33258,0.125565
112,39.16,0.638,1.26,33558,0.132049
113,24.451,0.636,1.78,33857,0.085594
114,34.265,0.633,1.23,34157,0.124253
115,29.429,0.631,1.1,34457,0.105216
116,23.575,0.628,0.82,34756,0.079601
117,23.43,0.626,0.83,35055,0.083581
118,18.415,0.623,0.79,35354,0.071406
119,31.381,0.621,0.72,35654,0.106569
120,36.183,0.618,0.63,35953,0.127078
121,32.67,0.616,0.55,36252,0.111413
122,43.002,0.613,0.62,36551,0.144216
123,35.166,0.611,0.62,36851,0.126566
124,38.999,0.608,0.59,37150,0.1362
125,31.85,0.606,0.78,37449,0.113648
126,17.073,0.603,0.97,37748,0.068247
127,30.178,0.601,0.69,38047,0.105969
128,30.133,0.599,0.77,38346,0.106421
129,33.105,0.596,0.68,38645,0.113349
130,29.326,0.594,0.79,38944,0.098819
131,21.096,0.592,0.97,39243,0.079914
132,18.624,0.589,1.04,39542,0.073226
133,25.984,0.587,1.39,39841,0.088289
134,39.965,0.584,0.73,40141,0.141459
135,19.347,0.582,1.0,40440,0.067515
136,17.152,0.58,1.01,40739,0.066331
137,36.943,0.577,0.64,41039,0.130796
138,34.265,0.575,1.14,41338,0.117915
139,20.767,0.573,1.13,41638,0.078378
140,20.168,0.571,0.96,41938,0.073566
141,16.493,0.568,1.13,42238,0.063263
142,38.654,0.566,0.71,42538,0.132101
143,21.919,0.564,1.06,42838,0.078972
144,29.762,0.561,1.06,43137,0.100221
145,34.82,0.559,0.89,43436,0.116864
146,24.378,0.557,0.81,43735,0.094409
147,33.239,0.555,0.72,44034,0.11797
148,38.481,0.553,0.71,44333,0.134703
149,39.75,0.55,0.69,44632,0.132818
150,29.944,0.548,0.74,44932,0.1069
151,17.072,0.546,1.05,45231,0.073411
152,29.78,0.544,0.87,45530,0.104741
153,20.355,0.542,1.29,45829,0.071145
154,20.462,0.539,1.24,46128,0.073898
155,27.032,0.537,1.01,46427,0.091821
156,36.316,0.535,0.68,46726,0.123132
157,37.796,0.533,0.65,47025,0.130355
158,37.333,0.531,0.67,47324,0.126676
159,27.719,0.529,0.84,47623,0.095949
