Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-26.88,-9.77,-16.58934402,125.5946198,1.902921915,0,1.51
2,-32.14,-11.13,-20.22719574,158.4940643,1.920947075,0,1.02
3,-40.85,-13.69,-23.05838013,233.6884918,1.830238819,0,0.97
4,-59.03,-18.5,-33.66016388,372.3973083,1.923688531,0,1.1
5,-41.88,-13.7,-24.03128242,210.5662079,1.920456529,0,1.42
6,-42.24,-13.92,-24.47525406,219.6292419,1.925423622,0,1.96
7,-42.86,-14.21,-24.54362297,227.3154144,1.922816157,0,2.09
8,-37.25,-12.63,-20.78041267,179.5123749,1.921361685,0,3.74
9,-40.07,-13.3,-21.3447094,176.1980133,1.919884086,0,3.49
10,-38.67,-12.89,-20.01810837,162.3304443,1.919319272,0,3.88
11,-33.94,-11.79,-17.39663124,145.2216492,1.907213092,0,4
12,-54.65,-17.4,-27.10467339,280.1031799,1.919643521,0,4.41
13,-31.12,-10.83,-14.50252151,112.3154449,1.918519855,0,3.36
14,-53.63,-17.2,-25.32626152,261.6877136,1.918698311,0,4.02
15,-37.98,-12.86,-17.28475189,148.46138,1.921659112,0,3.45
16,-45.88,-14.97,-19.83799553,184.3423004,1.917217255,0,3.67
17,-24.89,-9.22,-9.041934013,78.14415741,1.916665673,0,3.2
18,-38.49,-12.88,-14.3406229,124.6569901,1.915600538,0,3.41
19,-46.55,-15.05,-17.35369682,162.5713348,1.899697661,0,3.51
20,-25.32,-9.18,-6.138821602,63.12384796,1.912566304,0,3.28
21,-40.85,-13.51,-13.12281609,125.7874832,1.91618371,0,3.34
22,-46.07,-15.13,-13.94044399,146.9997864,1.876423717,0,3.69
23,-45.6,-14.95,-14.45147896,146.829071,1.915485024,0,3.93
24,-43.8,-14.61,-13.03278828,142.9333649,1.910681367,0,3.84
25,-49.95,-16.03,-14.09421158,151.3948669,1.913127065,0,3.76
26,-37.41,-12.57,-7.143853664,91.36800385,1.908851266,0,3.15
27,-44.69,-14.77,-9.619030952,125.6895828,1.905857801,0,3.76
28,-39.29,-13.14,-5.642687798,105.044548,1.916928291,0,3.69
29,-45.48,-14.84,-7.367572308,125.3928375,1.912935615,0,3.66
30,-38.91,-13.15,-2.531889677,84.80444336,1.859847665,0,3.11
31,-37.17,-12.57,-2.982692719,85.66322327,1.913547516,0,3.18
32,-30.93,-10.93,0.065995149,78.25317383,1.91390276,0,3.19
33,-37.76,-12.78,-1.093012452,84.55355072,1.887158036,0,3.26
34,-40.14,-13.23,-3.453926563,95.24517822,1.91845119,0,3.67
35,-40.38,-13.47,-3.684050322,88.44244385,1.918112397,0,3.38
36,-50.12,-16.22,-7.999195099,124.7812347,1.913159013,0,4.07
37,-31.16,-11.11,0.003999958,69.73594666,1.916374922,0,3.57
38,-45.52,-14.87,-6.47873354,108.4550934,1.918114781,0,4.19
39,-44.9,-14.81,-6.246165276,87.08783722,1.902665615,0,3.57
40,-35.98,-12.3,-2.378349543,70.0531311,1.919861913,0,3.81
41,-52.84,-16.89,-10.82336903,123.1727219,1.921684146,0,4.13
42,-43.98,-14.39,-6.49263525,81.51230621,1.921911359,0,3.87
43,-28.03,-9.85,3.13346386,58.6664505,1.912736416,0,3.62
44,-40.33,-13.43,-4.417450905,66.39017487,1.919415712,0,3.92
45,-49.2,-15.88,-9.968529701,103.912056,1.921990752,0,3.83
46,-25.37,-9.34,3.463562489,44.48745728,1.913980722,0,3.37
47,-32.35,-11.37,-1.248767614,52.13470078,1.917139649,0,3.43
48,-33.95,-11.58,-1.261340618,46.77806473,1.91680181,0,3.35
49,-45.32,-14.74,-5.851743698,82.50453186,1.903946519,0,3.72
50,-42.2,-13.93,-1.937531352,70.56282043,1.887217641,0,3.47
51,-29.25,-10.38,1.865457535,32.29629517,1.908098698,0,3.11
52,-56.73,-17.84,-14.00984573,112.7409668,1.908873677,0,3.8
53,-40.13,-13.24,-4.302863121,65.30168152,1.901929498,0,3.73
54,-24.14,-8.81,3.84396863,40.55150986,1.905507803,0,3.45
55,-38.34,-12.81,-6.291204929,44.28997803,1.912572026,0,3.7
56,-37.22,-12.4,-7.501608849,55.30718231,1.909748077,0,3.5
57,-44.33,-14.37,-8.330667496,58.75109863,1.903029561,0,3.72
58,-32.51,-11.18,-0.563188791,41.24032211,1.900333881,0,3.52
59,-34.27,-11.63,-1.498204589,20.61092186,1.907120109,0,3.35
60,-29.71,-10.43,0.387718976,18.13782501,1.904866338,0,3.35
61,-39.59,-13.11,-5.418119907,39.42253113,1.900383353,0,3.82
62,-20.66,-7.96,6.968676567,34.04637909,1.891397119,0,3.13
63,-22.44,-8.49,5.298131943,18.57673645,1.895355463,0,3.22
64,-47.52,-15.38,-10.80158043,60.08220673,1.905685663,0,3.67
65,-41.34,-13.58,-2.301647425,52.42409515,1.878389716,0,3.48
66,-48.77,-15.86,-8.58804512,52.62187958,1.883957982,0,3.63
67,-39.23,-13.06,-4.942193508,35.34375763,1.89449954,0,3.9
68,-35.43,-12.09,-2.938858509,16.75829124,1.897679687,0,3.63
69,-45.54,-14.75,-7.682787418,33.68764496,1.890788794,0,3.98
70,-43.57,-14.19,-7.100832462,30.94669533,1.899141192,0,3.77
71,-35.54,-12.07,-2.459948063,15.29106426,1.890736938,0,3.47
72,-50.42,-16.04,-10.7269392,53.80143738,1.889503837,0,3.77
73,-34.39,-11.66,1.464501262,7.040386677,1.892847538,0,3.66
74,-50.8,-16.19,-7.804541588,30.54859734,1.892693043,0,3.98
75,-35.72,-12.25,0.09803547,10.2930603,1.881405234,0,3.81
76,-45.72,-14.81,-6.399671078,29.87421227,1.886859775,0,4.13
77,-19.22,-7.45,12.57407475,56.5410614,1.881362915,0,3.26
78,-34.54,-11.54,4.499064922,32.34495926,1.884644747,0,4.03
79,-42.09,-13.85,-1.207907438,9.790552139,1.888781071,0,3.73
80,-40.29,-13.28,1.120162725,10.73608398,1.884193301,0,3.66
81,-37.15,-12.53,2.97652173,16.38604736,1.880360484,0,3.5
82,-30.4,-10.58,6.379094601,15.58490562,1.882162213,0,3.24
83,-43.39,-14.1,-2.157731771,12.2476263,1.885950089,0,3.81
84,-21.07,-7.97,12.00294876,52.4158783,1.877653599,0,3.92
85,-38.41,-12.87,0.52094847,6.526021481,1.887758017,0,3.88
86,-25.24,-9.08,8.347369194,27.15379906,1.878354311,0,3.24
87,-38.3,-12.84,-1.640093684,4.922214508,1.883799076,0,3.59
88,-38.11,-12.81,-0.452863812,4.880298615,1.880320787,0,3.57
89,-26.91,-9.66,6.763962746,15.2219305,1.871278644,0,3.29
90,-13.84,-5.93,15.34720516,72.15219116,1.864578605,0,3.21
91,-20.53,-7.9,10.03639412,31.78351974,1.858084083,0,3.11
92,-39.02,-12.89,-4.361514568,8.858820915,1.883124948,0,3.6
93,-38.28,-12.57,-7.073554993,23.2848835,1.881690264,0,3.54
94,-40.96,-13.46,-4.814077854,11.03864861,1.877788663,0,3.75
95,-33.54,-11.43,-0.388516217,4.233809471,1.8723315,0,3.56
96,-39.54,-13.05,-2.989654541,6.872200489,1.878180385,0,3.61
97,-43.98,-14.38,-8.636984825,28.92666054,1.874240279,0,3.54
98,-37.76,-12.59,-0.858483195,3.737062216,1.875777006,0,3.83
99,-32.35,-11.12,0.142249644,2.140781879,1.870585561,0,3.55
100,-42.57,-13.82,-4.896798611,10.63444328,1.883803129,0,3.73
101,-47.61,-15.34,-7.946393967,23.58075523,1.879440308,0,3.82
102,-28.12,-9.94,6.488807201,13.46651363,1.871246696,0,3.52
103,-35.56,-11.67,5.426822662,26.26071167,1.875172734,0,3.62
104,-24.68,-8.75,6.670348167,22.57901382,1.872223496,0,3.56
105,-20.01,-7.72,11.71821594,43.80356598,1.868331671,0,3.17
106,-11.33,-5.17,16.45856285,95.18319702,1.863414049,0,3.23
107,-31.7,-10.91,1.785039663,4.296559811,1.873819947,0,3.61
108,-30.76,-10.69,4.336536407,10.47815323,1.87230432,0,3.3
109,-32.99,-11.29,1.026721358,4.227359772,1.874746442,0,3.3
110,-30.19,-10.5,4.290345192,7.729210377,1.872690082,0,3.44
111,-30.69,-10.7,2.983746529,4.67407608,1.863831997,0,3.65
112,-26.08,-9.45,4.417776585,7.096264839,1.868267655,0,3.39
113,-40.29,-13.33,-7.628036499,21.13540459,1.877545357,0,3.58
114,-30.57,-10.59,0.796095133,3.095121622,1.871330142,0,3.55
115,-18.91,-7.26,5.789538383,16.42892265,1.870290279,0,3.2
116,-32.28,-11.11,-3.152941465,5.500945091,1.874597788,0,3.38
117,-15.42,-6.47,7.646630764,18.92074394,1.863406181,0,3.15
118,-21.82,-8.16,3.428592443,6.078614712,1.870443463,0,3.19
119,-47.08,-15.24,-9.578926086,36.17441559,1.861185551,0,3.83
120,-21.74,-8.06,1.495868325,3.386411667,1.873384953,0,3.51
121,-20.42,-7.83,0.192769602,1.517610431,1.87573421,0,3.36
122,-44.57,-14.41,-13.69166374,62.71507645,1.875211358,0,3.81
123,-35.27,-11.61,-7.771594048,21.94607162,1.871981859,0,3.61
124,-31.38,-10.8,-6.372319698,16.04957581,1.883886337,0,3.51
125,-29.25,-10.26,-7.445925713,20.17926598,1.877277017,0,3.57
126,-15.77,-6.5,5.594563007,13.05556583,1.869431138,0,3.14
127,-24.43,-8.97,2.175835371,5.20949316,1.866370678,0,3.17
128,-25.11,-9.11,-0.862219453,2.535409927,1.888055801,0,3.56
129,-28.82,-10.08,-2.616897106,3.158092976,1.888948321,0,3.67
130,-22.86,-8.4,-2.152234793,3.664271355,1.886894345,0,3.54
131,-30.83,-10.61,-4.625743389,8.899827003,1.89281559,0,3.48
132,-28.12,-10.06,-2.396056652,3.406615973,1.892656088,0,3.47
133,-34.13,-11.51,-4.850376129,9.226332664,1.900842547,0,3.66
134,-31.49,-10.95,-2.928767681,4.815354824,1.89487648,0,3.6
135,-28.73,-10.12,-0.627098083,1.602198124,1.897170424,0,3.46
136,-13.44,-6.12,6.317241192,12.04675579,1.886699677,0,3.12
137,-19.81,-7.83,6.145665169,11.85224533,1.88620019,0,3.27
138,-31.64,-10.96,-0.197493806,1.744203329,1.896991014,0,3.61
139,-18.02,-7.32,3.251502275,4.655992031,1.893052936,0,3.09
140,-13.8,-6.01,8.683071136,22.6365242,1.895830631,0,3.17
141,-31.41,-10.76,-0.140770435,8.577800751,1.895345092,0,3.79
142,-27.27,-9.59,5.269092083,21.25395584,1.891451597,0,3.75
143,-6.59,-4.12,10.81516171,35.83733368,1.892000914,0,3.21
144,-38.48,-12.95,-3.216026068,6.339690685,1.897874951,0,3.78
145,-31.1,-10.72,0.821420312,2.851292849,1.898094296,0,3.68
146,-19.45,-7.64,4.512420177,7.164849281,1.896951318,0,3.43
147,-32.8,-11.39,-1.349008203,5.142615318,1.887630463,0,3.86
148,-27.22,-9.78,1.887787461,2.949305534,1.893047452,0,4.41
149,-30.98,-10.73,-0.212463588,1.517056942,1.893766284,0,4.11
150,-13.17,-5.89,6.009501934,12.40533829,1.894374847,0,3.46
151,-13.44,-6.29,4.4524436,7.54305172,1.881806254,0,3.45
152,-23.42,-8.62,2.191441059,5.209762573,1.885144711,0,4.22
153,-29.16,-10.32,-2.308687449,3.776976347,1.888212919,0,3.95
154,-29.94,-10.61,-7.876793861,23.87326241,1.884620309,0,3.97
155,-18.92,-7.46,2.497493982,3.108834982,1.882869244,0,3.73
156,-30.4,-10.89,-5.313709259,12.31105328,1.885818243,0,3.84
157,-23.85,-8.98,-2.590652943,9.507084846,1.884286284,0,3.67
158,-16.73,-6.92,1.515823483,1.865294337,1.875495791,0,3.78
159,-25.06,-9.27,-2.36720562,3.851683378,1.877479911,0,4.17
160,-24.66,-9.2,-4.569826126,9.200861931,1.879724503,0,3.96
161,-32.78,-11.5,-7.728830338,22.98454666,1.879321694,0,3.86
162,-17.31,-7.25,1.767769098,2.221746922,1.868520856,0,3.85
163,-6.77,-4.16,6.157649994,16.11762238,1.857402325,0,3.52
164,-20.66,-8.14,-1.350219965,1.875843763,1.870590806,0,3.85
165,-29.51,-10.37,-3.137809277,4.293090343,1.876399755,0,3.93
166,-11.03,-5.47,4.287167072,6.975179672,1.852078438,0,3.57
167,-6.96,-4.25,6.225419044,13.01266098,1.852499127,0,3.2
168,-4.05,-3.18,8.024186134,22.58259392,1.859060049,0,3.38
169,-14,-6.21,1.351170897,2.29348135,1.854849815,0,3.52
170,-26.35,-9.57,-2.958644152,9.89922905,1.836374164,0,4.1
171,-9.97,-5.36,2.41451931,3.569277048,1.83953917,0,3.35
172,8.42,0.11,11.05737782,42.826828,1.810035229,0,3.26
173,-23.52,-8.95,-5.745080948,13.19716454,1.831020951,0,3.87
174,-9.82,-4.74,4.010690689,22.39839172,1.812930465,0,3.83
175,-20.1,-7.94,-5.32683897,11.53250599,1.823485136,0,3.63
176,-9.63,-4.9,-1.198976159,2.321008205,1.80052042,0,3.71
177,-10.38,-5.23,1.02911377,2.518001556,1.77513361,0,3.89
178,2.86,-1.47,5.944955349,13.27193069,1.747944593,0,3.6
179,-14.55,-6.47,-2.424289465,5.168186665,1.759158492,0,3.79
180,-3.11,-3.35,3.246201515,5.811774731,1.727202296,0,3.26
181,-0.01,-2.07,5.256672859,16.00681877,1.711170912,0,3.98
182,13.09,1.38,9.737303734,36.58399582,1.688861728,0,3.19
183,17.66,2.84,9.410727501,37.16368103,1.645569205,0,3.53
184,17.39,2.81,12.08163071,50.56478882,1.661760807,0,3.22
185,21.59,3.82,7.473368645,26.5061512,1.584920049,0,3.98
186,15.95,2.49,9.72589016,37.54965591,1.634361386,0,3.42
187,29.76,6.25,9.731019974,45.16487885,1.495406032,0,3.32
188,1.78,-1.62,1.435934782,15.23473263,1.559362531,0,5.38
189,19.41,3.3,6.67615366,21.62439919,1.509714246,0,4.31
190,7.66,0.03,2.283512115,6.723073959,1.53389287,0,4.37
191,21.78,3.94,2.742537022,8.534535408,1.367516041,0,4.14
192,1.73,-1.44,-0.835563004,13.18518066,1.518619418,0,4.89
193,23.36,4.43,2.441147804,7.015883923,1.24481678,0,4.37
194,30.84,6.55,3.246870756,11.34469604,1.222516537,0,3.39
195,20.98,3.81,1.083284616,3.6159904,1.295216441,0,3.35
196,29.01,5.96,1.618462563,4.825663567,1.15597558,0,3.16
197,14.5,1.9,-2.550977945,9.704280853,1.261271,0,3.61
198,41.02,9.34,0.846103728,10.64170837,0.781910539,0,2.92
199,23.72,4.59,-0.348859519,2.210069895,1.21648705,0,3.32
200,40.91,9.31,0.341145277,8.171117783,0.675913692,0,3.01
201,33.44,7.22,-0.245363638,2.2097826,0.954845488,0,3.18
202,19.06,3.28,-3.057022095,11.71691227,1.060478926,0,3.75
203,18.67,3.13,-3.954323769,21.76591492,0.985019445,0,3.95
204,31.37,6.63,-1.576301217,3.223626614,0.937269092,0,3.77
205,32.68,7.06,-1.227986336,2.331427813,0.895817697,0,3.12
206,7.85,0.13,-6.54446125,28.02644157,1.252647758,0,3.76
207,31.34,6.56,-1.895965934,6.688723087,0.685069859,0,3.46
208,22.46,4.18,-2.808084011,10.25960827,0.863458157,0,3.79
209,25.57,5.1,-1.516968489,2.85090518,0.916933179,0,3.47
210,36.85,8.24,0.448339045,3.455250263,0.635947347,0,3.14
211,39.49,8.98,0.889127433,7.748639107,0.67688781,0,2.86
212,21.77,3.99,-1.448909879,4.653579712,0.754696548,0,3.82
213,45.8,10.64,0.641290367,15.10232735,0.352603763,0,2.88
214,19.4,3.37,-1.586603045,5.689935684,0.805559397,0,3.92
215,42.88,9.96,2.007184505,15.57715034,0.529963255,0,2.83
216,34.07,7.4,0.392720461,2.997268438,0.556240261,0,3.4
217,27.91,5.74,0.028513078,1.011597514,0.848108232,0,3.39
218,26.6,5.33,0.043631688,0.476739436,0.760420263,0,3.62
219,41.2,9.48,0.945067585,10.43344212,0.589465976,0,2.92
220,21.98,4.1,-0.49965179,2.186891794,0.792450964,0,3.84
221,40.48,9.23,0.858662367,7.025303364,0.590357006,0,2.94
222,36.99,8.19,0.371951461,1.892816544,0.505743504,0,3.31
223,30.62,6.44,-0.103448302,0.159384593,0.671068192,0,3.48
224,30.36,6.52,0.440647006,0.325556308,0.927745879,0,3.14
225,21.45,3.92,-1.259175539,6.907136917,0.732089877,0,3.93
226,14.75,2.13,-1.685368061,9.715490341,1.106775045,0,3.86
227,41.71,9.62,0.939043999,4.605292797,0.659105539,0,2.91
228,25.54,5.11,-0.486783236,1.903489232,0.819433689,0,3.59
229,24.44,4.84,-0.459034324,2.434166431,0.846450269,0,3.76
230,40.91,9.49,1.922193646,6.848484039,0.77192235,0,2.87
231,33.42,7.28,0.676028669,0.850621581,0.807401121,0,3.26
232,16.5,2.59,-0.963975549,7.107675552,1.04195714,0,3.91
233,20.15,3.56,-0.760957181,5.52971077,0.991783559,0,3.89
234,34.93,7.66,0.141612306,0.310702264,0.662644565,0,3.4
235,25.46,4.99,-0.038620915,0.699068069,0.98207438,0,3.5
236,30.85,6.52,0.874448657,1.272977948,0.89484489,0,3.45
237,23.7,4.51,-0.177910209,3.207114697,0.930960059,0,3.71
