Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-41.53,-13.64,-25.75755882,239.3495636,1.868674278,0,1.43
2,-39.51,-13.2,-24.6866188,221.16922,1.912180781,0,2.12
3,-33.39,-11.35,-21.03941154,168.59552,1.90827477,0,3.28
4,-30.11,-10.65,-19.46508789,154.6608276,1.906005263,0,3.01
5,-46.2,-15.1,-26.99208641,261.652832,1.908201098,0,3.71
6,-48.97,-15.69,-28.77693176,283.1342773,1.909650326,0,3.22
7,-44.11,-14.45,-25.29191017,244.6374664,1.899645805,0,3.56
8,-46.67,-15.16,-26.36782455,260.3177795,1.899368644,0,3.54
9,-20.58,-7.88,-11.81313419,84.42337036,1.892936587,0,2.96
10,-37.16,-12.42,-20.26348305,164.666214,1.900279164,0,3.02
11,-53.53,-17.01,-26.55644417,261.9978333,1.891585946,0,3.49
12,-37.56,-12.7,-19.16606331,164.0536652,1.900620699,0,3.46
13,-41.58,-13.71,-20.91405106,183.9756317,1.901839137,0,3.41
14,-26.31,-9.4,-12.97406769,93.56194305,1.897463202,0,3.31
15,-41.3,-13.65,-20.32483292,180.1633911,1.893169522,0,3.25
16,-40,-13.41,-18.91099358,173.7454834,1.887508154,0,3.41
17,-42.46,-14.02,-19.54751205,176.6915741,1.890130401,0,3.58
18,-43.52,-14.45,-20.09123993,193.1444855,1.886103749,0,3.73
19,-35.43,-12.08,-14.68010616,121.8635025,1.887671351,0,3.02
20,-23.68,-8.78,-7.783296108,70.69664001,1.890142441,0,3.06
21,-54.52,-17.31,-23.0396843,234.1604919,1.874818921,0,3.6
22,-36.7,-12.4,-13.02420044,115.9160004,1.876746178,0,3.54
23,-37.8,-12.74,-11.89002037,108.58564,1.878997564,0,3.47
24,-24.03,-8.93,-2.628781796,56.0993042,1.869269609,0,2.9
25,-37.13,-12.55,-11.6925354,108.2720871,1.867920756,0,3.44
26,-22.7,-8.42,-2.613380671,51.08603287,1.861833692,0,3.09
27,-18.19,-7.19,0.083973862,43.49739456,1.859154463,0,3.09
28,-27.44,-9.7,-4.062996864,56.49617767,1.862427592,0,3.28
29,-17.57,-7.05,0.447167844,45.14159012,1.85270226,0,3.08
30,-36.38,-12.33,-8.827432632,87.71111298,1.855573297,0,3.49
31,-29.47,-10.27,-4.998720169,58.8227272,1.856391191,0,3.6
32,-22.01,-8.46,-2.365303755,50.80415726,1.850274205,0,3.18
33,-13.09,-5.78,4.539861679,47.13996506,1.861448526,0,2.91
34,-15.09,-6.4,2.556236029,38.07367325,1.854373217,0,3.11
35,-26.97,-9.63,-0.875051558,59.25246811,1.859149814,0,3.28
36,-24.41,-8.82,-2.04109025,45.99719238,1.845521688,0,3.58
37,-30.97,-10.88,-2.119365454,83.35042572,1.846898556,0,3.31
38,-20.91,-8,-0.22097294,43.33497238,1.862628222,0,3.05
39,-33.79,-11.65,-8.105073929,65.36197662,1.839627862,0,3.52
40,-30.28,-10.52,-5.38442564,54.79732895,1.865768075,0,3.43
41,-17.81,-7.13,-0.145763233,26.97868729,1.8526752,0,3.15
42,-17.93,-7.19,0.9781124,28.87285233,1.861446738,0,2.86
43,-24.46,-8.85,-3.640506268,34.61362839,1.851250052,0,3.43
44,-32.21,-11.07,-6.586871624,73.22185516,1.864380956,0,3.51
45,-19.45,-7.74,-2.544291735,25.73099899,1.862153292,0,3.29
46,-20.63,-7.86,-0.586941838,27.59262276,1.863519549,0,2.95
47,-31.4,-10.96,-8.499548912,49.1362648,1.869542003,0,3.22
48,-13.45,-5.66,1.902778029,20.76499367,1.863547564,0,3.31
49,-38.52,-12.76,-9.283342361,84.3415451,1.858964443,0,3.44
50,-40.14,-13.31,-11.8759222,71.81819153,1.869175792,0,3.6
51,-24.47,-8.85,-3.830407858,20.70308495,1.864316821,0,3.49
52,-8.53,-4.44,3.175421476,15.3639555,1.859905839,0,2.97
53,-38.08,-12.86,-11.1837101,66.90990448,1.865253925,0,3.55
54,-8.25,-4.39,3.697341204,13.61696243,1.854596376,0,3.16
55,-10.67,-5.03,1.604382873,12.17027283,1.859290719,0,3
56,-24.98,-9,-4.059634686,19.27709198,1.862785459,0,3.41
57,-19.55,-7.6,-2.246148348,14.66280079,1.85545671,0,3.27
58,-17.35,-6.7,-0.491023034,14.71529961,1.855059385,0,3.27
59,-4.74,-3.34,7.201383591,19.61083412,1.842909575,0,2.98
60,-4.46,-3.3,5.798353195,15.88363075,1.845564365,0,3.06
61,-23.71,-8.6,-5.000285625,20.5274086,1.849114537,0,3.55
62,-28.61,-10.3,-7.088048458,29.59104729,1.850086927,0,3.5
63,-8.07,-4.34,3.598950386,7.004832268,1.840979815,0,3.03
64,-16.94,-6.71,-0.431788296,6.981934547,1.849045038,0,3.19
65,-19.97,-7.55,-3.425856113,10.16957188,1.848192692,0,3.23
66,-12.78,-5.62,-2.369579554,8.94527626,1.83952713,0,3.1
67,-9.92,-4.91,0.799135745,4.639617443,1.832651615,0,3.2
68,-8.26,-4.41,2.138174772,4.522897243,1.832960606,0,3.05
69,-9.28,-4.53,2.695133209,4.225986481,1.840674877,0,2.94
70,-25.1,-9.1,-5.902489185,27.88567352,1.830516934,0,3.42
71,-26.63,-9.49,-6.466048717,19.84502983,1.841726899,0,3.63
72,-25.92,-9.16,-6.04473877,20.29767799,1.834796309,0,3.58
73,-28.36,-9.82,-10.38982105,45.13101578,1.833451748,0,3.47
74,-8.52,-4.38,1.323463082,2.207465887,1.840601206,0,3.18
75,-23.26,-8.69,-5.995512009,18.26667404,1.83908546,0,3.31
76,-18.93,-7.06,-0.865659535,5.31464529,1.850482225,0,3.32
77,-26.2,-9.34,-4.027597427,10.34036541,1.838822603,0,3.66
78,-24.64,-8.78,-5.988892555,18.15402985,1.842076182,0,3.49
79,-26.91,-9.69,-4.84177351,18.78546143,1.850328565,0,3.53
80,-15.06,-6.05,1.742660284,4.972754002,1.840087295,0,3.17
81,-12.14,-5.6,1.180630565,8.92813015,1.846954703,0,3
82,-23.32,-8.53,-2.130756855,5.249438763,1.841563463,0,3.44
83,-24.15,-8.8,-8.029817581,38.1611824,1.836801529,0,3.16
84,-23.65,-8.68,-1.635824919,7.625469685,1.846435905,0,3.23
85,-17.68,-7.12,0.332905412,7.519043922,1.844243169,0,3.13
86,-16.02,-6.69,1.254842877,9.603204727,1.842588067,0,3.05
87,-22.19,-8.28,2.026597023,12.6550169,1.82072103,0,3.3
88,-23.77,-8.63,-1.295575976,8.452269554,1.835017681,0,3.65
89,-28.96,-10.3,-0.445476264,17.71640778,1.81955409,0,3.44
90,-6.42,-3.91,5.396664619,9.878523827,1.842993617,0,3.08
91,-17.59,-6.88,-1.246084571,3.943637609,1.83646667,0,3.2
92,-10.22,-5.06,5.207118511,10.41257191,1.846024632,0,3.16
93,-13.12,-5.8,4.659227371,9.206885338,1.843322515,0,3.24
94,-13.87,-6.01,-2.255227566,5.24838686,1.83834672,0,3.1
