Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,6.63,0.57,0.833736777,7.740299702,1.892528892,0,5.45
2,16.28,2.97,5.125736237,17.64044571,1.863722086,0,4.3
3,8.21,0.58,0.560462356,13.63486099,1.864326954,0,4.66
4,23.82,5.23,9.489768982,30.6960392,1.924479604,0,3.93
5,23.8,5.24,9.515942574,30.46688461,1.929286957,0,3.64
6,5.81,-0.12,-0.864146948,12.74940777,1.864635587,0,4.44
7,11.48,1.88,2.701390743,6.73376894,1.912759423,0,4.7
8,25.02,5.61,9.633701324,31.7240715,1.925858617,0,3.91
9,14.97,2.76,3.684847593,8.961438179,1.915782094,0,4.39
10,4.55,-0.76,-3.011589527,20.35156822,1.856692314,0,3.92
11,19.94,4.09,6.10914278,16.01393127,1.914564967,0,4.32
12,21.33,4.54,6.998603821,18.4522953,1.904805899,0,3.77
13,29.2,6.68,9.404514313,30.57116127,1.910553217,0,3.85
14,15.47,3.05,3.290020704,5.374367714,1.91361475,0,4.22
15,-0.93,-2.29,-5.281477451,28.85332298,1.762090445,0,4.13
16,8.22,0.59,-1.50006938,8.513838768,1.8842839,0,4.55
17,18.61,3.79,4.176948071,8.617371559,1.919623971,0,4.1
18,6.43,0.59,-2.607305765,4.799602985,1.902734399,0,4.45
19,16.61,2.75,1.976020217,9.177125931,1.871085048,0,3.87
20,13.67,2.3,0.764918983,3.511996984,1.899628878,0,4.49
21,6.06,-0.19,-3.315288782,11.72335815,1.834519625,0,4.56
22,27.55,6.13,6.308947086,16.29674721,1.920103908,0,3.8
23,10.79,1.57,-0.280275047,2.489870548,1.895743608,0,4.52
24,26.28,5.9,6.891001701,16.43846893,1.903174996,0,3.44
25,30.09,6.93,6.407484055,13.77992153,1.895650625,0,3.53
26,1.61,-0.9,-6.214766979,13.27295113,1.857861996,0,4.59
27,23.77,5.12,4.333754063,8.63010788,1.91162169,0,3.91
28,20.47,4.18,2.15815115,1.96353519,1.900403023,0,3.95
29,27.33,6.05,4.677146435,8.874958038,1.912769794,0,3.46
30,17.99,3.54,1.823015928,1.736786246,1.900903702,0,4.55
31,18.72,3.81,2.036141157,2.154397488,1.920509815,0,4.15
32,20.99,4.28,2.112138271,1.962097406,1.877045512,0,3.66
33,11.7,1.87,-3.585145473,4.193092823,1.889338732,0,4.77
34,30.32,7.09,4.47314024,9.315004349,1.922593355,0,3.24
35,7.14,0.72,-6.311153889,14.07401371,1.88249588,0,4.26
36,29.87,6.89,4.475039959,7.986313343,1.914349318,0,3.39
37,18.24,3.63,-2.044946194,2.726728201,1.916501045,0,3.91
38,28.18,6.51,0.333255053,1.55557549,1.918252587,0,3.09
39,27.85,6.25,1.341540933,1.472878575,1.83420527,0,3.05
40,13.54,2.47,-1.131368637,1.402521253,1.905254483,0,4.12
41,31.31,7.18,-0.575698197,2.154308558,1.892429233,0,3.36
42,31.37,7.23,3.314971924,4.518495083,1.904909253,0,3.15
43,32.52,7.62,0.970659792,2.204192877,1.902923584,0,3.25
44,23.83,5.11,-4.333096981,10.54700661,1.747748971,0,3.95
45,30.66,7.15,1.663264751,2.051013708,1.908580542,0,3.47
46,22.09,4.75,-2.292241573,3.395248652,1.90516901,0,3.95
47,12.75,2.13,-1.980096936,3.344165802,1.905492902,0,4.35
48,23.84,5.2,-1.73321116,3.905280352,1.915703773,0,3.57
49,22.14,4.72,-1.825101018,2.238893986,1.900941968,0,3.89
50,20.54,4.17,-1.827727437,3.369386196,1.869502783,0,3.9
51,27.38,6.06,0.404580921,2.056838512,1.88750124,0,3.79
52,-6.4,-3.72,-9.516612053,34.08355713,1.655042052,0,4.52
53,14.39,2.71,-1.314890146,1.922327876,1.890320659,0,4.7
54,25.16,5.36,1.402397513,1.774138212,1.904189825,0,3.41
55,32.88,7.58,0.219575495,1.341598868,1.836714268,0,3.04
56,9.67,0.49,-21.93621254,1233.017334,1.611659169,0,3.68
57,18.95,3.95,-0.191509604,1.945702314,1.851081371,0,4.59
58,12.39,2.03,-0.240227282,1.332407475,1.908720136,0,4.66
59,28.04,6.54,1.245119214,1.813247323,1.853794575,0,4.05
60,12.82,2.03,-1.529143572,1.180656075,1.919477344,0,4.48
61,26.76,6.27,3.543191433,4.927977562,1.917612553,0,3.53
62,21.91,4.75,3.681360483,4.807563305,1.925398588,0,4
