Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,29.424,0.996,0.12,300,0.101022
2,31.939,0.992,0.1,600,0.113496
3,17.008,0.988,0.37,900,0.066675
4,6.921,0.984,0.43,1200,0.053555
5,10.201,0.98,0.41,1499,0.054196
6,28.106,0.976,0.22,1799,0.101185
7,31.58,0.972,0.12,2099,0.106156
8,32.387,0.968,0.1,2399,0.112154
9,23.713,0.965,0.21,2698,0.092081
10,26.138,0.961,0.22,2998,0.089106
11,25.178,0.957,0.32,3297,0.095042
12,14.476,0.953,0.42,3597,0.061435
13,26.952,0.949,0.16,3897,0.093073
14,27.543,0.945,0.2,4197,0.098242
15,30.769,0.942,0.15,4497,0.104068
16,13.832,0.938,0.45,4797,0.06656
17,28.371,0.934,0.16,5097,0.098931
18,22.542,0.93,0.32,5397,0.080805
19,11.092,0.927,0.56,5697,0.064198
20,14.967,0.923,0.54,5997,0.05413
21,33.172,0.919,0.16,6296,0.112148
22,33.252,0.916,0.14,6596,0.114068
23,25.711,0.912,0.44,6896,0.092917
24,22.846,0.908,0.36,7195,0.079908
25,16.295,0.905,0.55,7495,0.062618
26,28.277,0.901,0.28,7795,0.10164
27,17.985,0.897,0.51,8095,0.072256
28,33.408,0.894,0.11,8395,0.115872
29,25.328,0.89,0.33,8694,0.087061
30,30.013,0.887,0.2,8994,0.104928
31,21.393,0.883,0.31,9294,0.078051
32,24.91,0.88,0.32,9594,0.087444
33,20.241,0.876,0.42,9893,0.081678
34,21.549,0.873,0.55,10193,0.078072
35,26.787,0.869,0.47,10493,0.096878
36,15.169,0.866,0.64,10793,0.055977
37,23.443,0.862,0.37,11092,0.079793
38,34.379,0.859,0.15,11392,0.118171
39,23.432,0.855,0.37,11692,0.079511
40,18.359,0.852,0.52,11992,0.070241
41,26.356,0.848,0.27,12291,0.094006
42,15.605,0.845,0.52,12591,0.066804
43,31.062,0.842,0.31,12890,0.110768
44,19.07,0.838,0.39,13190,0.071476
45,30.378,0.835,0.39,13490,0.103248
46,22.638,0.832,0.92,13789,0.080198
47,23.273,0.828,1.93,14089,0.086041
48,28.215,0.825,1.25,14389,0.096361
49,18.184,0.822,1.4,14688,0.07266
50,26.119,0.818,1.67,14987,0.092339
51,25.54,0.815,1.3,15286,0.087719
52,31.944,0.812,0.87,15586,0.110978
53,18.41,0.809,1.95,15886,0.067619
54,27.686,0.805,1.23,16185,0.102034
55,8.664,0.802,1.98,16484,0.054293
56,18.613,0.799,1.64,16783,0.079323
57,24.351,0.796,1.33,17083,0.085996
58,8.378,0.793,1.88,17382,0.056998
59,33.752,0.789,0.7,17682,0.116274
60,22.37,0.786,1.35,17981,0.08144
61,25.131,0.783,1.47,18281,0.098119
62,30.095,0.78,0.91,18580,0.105922
63,37.151,0.777,0.79,18879,0.12466
64,25.49,0.774,1.72,19178,0.085992
65,26.512,0.771,1.49,19478,0.093723
66,15.132,0.768,2.11,19778,0.059582
67,29.268,0.764,1.7,20077,0.09959
68,13.046,0.761,1.98,20377,0.066032
69,33.359,0.758,1.1,20676,0.113623
70,30.298,0.755,1.25,20975,0.107833
71,33.047,0.752,1.25,21275,0.115132
72,17.213,0.749,2.24,21574,0.06321
73,30.811,0.746,1.42,21874,0.103612
74,30.793,0.743,1.51,22172,0.108706
75,27.297,0.74,1.39,22471,0.093954
76,21.023,0.737,1.6,22770,0.091135
77,30.395,0.734,1.41,23070,0.109134
78,34.097,0.732,1.05,23369,0.115553
79,28.404,0.729,1.6,23669,0.109871
80,19.43,0.726,2.03,23969,0.068914
81,20.604,0.723,2.03,24268,0.069875
82,27.997,0.72,1.38,24567,0.102318
83,19.539,0.717,2.0,24866,0.072283
84,36.59,0.714,1.1,25165,0.126964
85,20.47,0.711,1.92,25464,0.0761
86,33.17,0.708,1.33,25763,0.112152
87,36.071,0.706,1.22,26063,0.122025
88,23.061,0.703,2.17,26363,0.082292
89,17.985,0.7,2.17,26662,0.066915
90,37.965,0.697,1.18,26961,0.127784
91,33.171,0.694,1.39,27260,0.116448
92,34.094,0.692,1.11,27560,0.121885
93,15.599,0.689,2.32,27859,0.059904
94,17.997,0.686,2.18,28159,0.071004
95,25.35,0.683,2.04,28459,0.08797
96,35.803,0.681,1.22,28759,0.123435
97,34.157,0.678,1.38,29059,0.118978
98,18.87,0.675,2.43,29358,0.068288
99,30.049,0.672,1.52,29657,0.101947
100,29.264,0.67,1.56,29957,0.101223
101,20.911,0.667,2.01,30257,0.077775
102,32.942,0.664,1.46,30556,0.112117
103,34.678,0.662,1.18,30856,0.124744
104,21.958,0.659,2.28,31155,0.078228
105,30.889,0.656,1.82,31454,0.105693
106,29.41,0.654,1.81,31753,0.102982
107,31.42,0.651,1.66,32053,0.110342
108,35.064,0.649,1.56,32352,0.121762
109,21.598,0.646,2.17,32651,0.078097
110,27.095,0.643,2.07,32950,0.09095
111,19.209,0.641,2.49,33250,0.07072
112,32.186,0.638,1.8,33550,0.109142
113,14.786,0.636,2.62,33850,0.065292
114,35.535,0.633,1.5,34149,0.121675
115,15.321,0.631,2.46,34448,0.065805
116,23.794,0.628,2.58,34748,0.085791
117,18.318,0.626,2.32,35047,0.079629
118,19.47,0.623,2.32,35346,0.068616
119,37.75,0.621,1.42,35645,0.127503
120,31.082,0.618,1.66,35944,0.108147
121,25.334,0.616,2.21,36244,0.094077
122,32.745,0.613,1.67,36544,0.113805
123,28.576,0.611,2.23,36843,0.098815
124,21.367,0.608,2.35,37143,0.077334
125,31.603,0.606,2.31,37442,0.108483
126,18.797,0.603,2.35,37741,0.071262
127,24.752,0.601,2.42,38040,0.084055
128,29.781,0.599,1.77,38339,0.108033
129,41.683,0.596,1.55,38638,0.142885
130,25.717,0.594,2.56,38938,0.091639
131,14.162,0.592,2.65,39237,0.072225
132,34.103,0.589,1.9,39536,0.116098
133,21.521,0.587,2.57,39835,0.07822
134,39.074,0.584,1.56,40135,0.133517
