Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
1,5.695014245014242,300,44.96,0.075287,12007.927148,0.010379,-0.0,1.0,289.43356
2,40.20420051329146,300,43.79,-0.003678,1643.245822,0.01,-0.0,1.0,114.63828
3,44.28737550328457,300,43.65,0.002362,96.749292,0.026404,-0.0,1.0,33.93898
4,29.969938899484347,300,44.03,-0.000573,10097.307007,0.010014,0.0,1.0,262.19647
5,44.3131127710673,300,43.43,-0.003516,71.425866,0.010702,0.0,1.0,29.364346
6,26.772809387582107,300,50.08,-0.003446,14254.805117,0.01,-0.0,1.0,316.61282
7,25.075443243625067,300,53.1,-0.002955,17860.612627,0.01,0.0,1.0,351.45602
8,43.40911857502765,300,49.81,0.000826,665.664182,0.010034,0.0,1.0,77.37387
9,29.048157272020894,300,49.74,-0.002964,11529.188232,0.01,-0.0,1.0,284.3515
10,40.75475589225591,300,49.39,-0.000659,782.677248,0.01,0.0,1.0,79.389275
11,42.13549186503731,300,48.98,-0.000876,362.295347,0.010113,-0.0,1.0,57.902176
12,41.97684655411927,300,50.2,-0.002392,938.777156,0.01,0.0,1.0,87.37429
13,38.14216053306963,300,49.36,-0.003159,1897.109561,0.01,0.0,1.0,118.256134
14,37.68152651220833,300,56.35,0.00289,2588.871581,0.01,0.0,1.0,138.33461
15,29.488933036660317,300,74.57,0.001375,12271.51373,0.01,0.0,1.0,294.39636
16,24.93433019001203,300,80.47,-0.002312,17930.421416,0.01,-0.0,1.0,353.83743
17,34.08071036707402,300,71.93,0.00301,7759.79634,0.01,0.0,1.0,234.39537
18,27.299791916837368,300,67.39,-0.004558,15120.737949,0.01,-0.0,1.0,325.2016
19,44.70582691719056,300,73.99,-0.007407,137.306442,0.01,0.0,1.0,40.57395
20,29.175814084905006,300,71.96,-0.005665,11760.602231,0.010012,-0.0,1.0,288.88898
21,38.75843811071083,300,72.5,-0.003516,3190.779369,0.01,0.0,1.0,152.6713
22,40.88837530314803,300,70.18,-0.004345,1066.759689,0.01,0.0,1.0,89.36086
23,43.253128605401315,300,75.25,0.000123,320.695341,0.01,0.0,1.0,57.397316
