Episode,Reward,Loss,Duration_s,Epsilon
1,28.35451602,0,0.08,0.995
2,26.36004627,0,0.18,0.99
3,18.83192943,0,0.3,0.985
4,27.3364846,0.004209577,25.02,0.98
5,26.1861273,0.005648834,36.66,0.975
6,9.561138483,0.003851255,36.73,0.97
7,18.47130365,0.00276662,36.81,0.966
8,17.96900179,0.006742279,36.89,0.961
9,16.72716942,0.003049978,36.54,0.956
10,11.06043859,0.002454677,40.01,0.951
11,14.46141102,0.002902745,47.67,0.946
12,23.60445245,0.003533747,43.59,0.942
13,35.05364396,0.006273234,43.09,0.937
14,16.22973117,0.003255493,43.17,0.932
15,31.82841586,0.019674081,42.93,0.928
16,30.16055191,0.002887256,43.11,0.923
17,27.21525835,0.001336846,43.57,0.918
18,30.93901339,0.002844091,42.86,0.914
19,15.02760796,0.003016575,43.45,0.909
20,28.79425402,0.013018999,58.79,0.905
21,30.95805079,0.003808796,68.28,0.9
22,32.74357591,0.010933864,71.8,0.896
23,30.7910742,0.006953928,63.92,0.891
24,21.11601093,0.003652167,58.84,0.887
25,27.22396429,0.002407731,66.24,0.882
26,24.16177745,0.001937503,65.21,0.878
27,20.87717619,0.001795306,63.66,0.873
28,15.45828889,0.001930316,66.4,0.869
29,20.54869175,0.002116377,65.82,0.865
30,25.12444727,0.003959159,66.17,0.86
31,31.02642921,0.006031292,66.91,0.856
32,15.79682842,0.003810534,65.64,0.852
33,32.85508494,0.004739294,75.92,0.848
34,18.56261066,0.003241627,73.39,0.843
35,23.63451149,0.001980848,67.33,0.839
36,13.01122295,0.002963141,80,0.835
37,26.87872254,0.003345144,71.32,0.831
38,23.09992583,0.00368009,70.52,0.827
39,10.03057645,0.002504101,71.87,0.822
40,16.89195363,0.004391569,65.8,0.818
41,14.36206205,0.007985835,70.25,0.814
42,24.33355378,0.001465468,71.01,0.81
43,29.44281863,0.003313555,68.72,0.806
44,22.0994093,0.003121433,72.86,0.802
45,25.48605666,0.001687347,70.68,0.798
46,33.70377257,0.003578876,72.87,0.794
47,31.71419586,0.003014273,69.22,0.79
48,32.63701614,0.002375648,78.37,0.786
49,11.75202756,0.004941886,75.43,0.782
50,23.08755975,0.002619457,77.99,0.778
51,27.14381254,0.002483193,77.47,0.774
52,16.03226672,0.001469504,74.38,0.771
53,29.3775073,0.003534478,70.51,0.767
54,27.7905877,0.003072926,71.87,0.763
55,29.6221869,0.005325287,72.14,0.759
56,24.93591627,0.00228983,71.2,0.755
57,30.49868705,0.004385695,70.47,0.751
58,29.77857568,0.002755095,67.4,0.748
59,11.3635984,0.002125222,73.81,0.744
60,18.97423536,0.00270944,72.43,0.74
61,33.02781104,0.007519678,69.99,0.737
62,15.6228865,0.003562546,42.61,0.733
63,27.16620105,0.009366239,37.69,0.729
64,11.49376633,0.001830818,36.87,0.726
65,30.99567352,0.00349647,38.28,0.722
66,9.437150055,0.002515632,38.94,0.718
67,24.81592646,0.001959634,38.75,0.715
68,23.93844653,0.004111241,48.08,0.711
69,34.16781833,0.005404792,48.1,0.708
70,17.90819029,0.001994927,45.1,0.704
71,26.03926473,0.001942655,45.46,0.701
72,15.16019225,0.002503369,45.4,0.697
73,20.63263668,0.001093096,45.68,0.694
74,20.17562984,0.001622403,45.53,0.69
75,32.76717819,0.00212784,45.61,0.687
76,25.49237568,0.0022891,45.78,0.683
77,30.19717219,0.003817855,45.53,0.68
78,24.81599856,0.002025083,45.72,0.676
79,29.8346922,0.000992607,45.6,0.673
80,21.70404982,0.00392634,45.91,0.67
81,11.96621194,0.001480478,46.48,0.666
82,26.98669474,0.002636371,45.75,0.663
83,31.06696452,0.001159985,46.07,0.66
84,28.49314032,0.001317343,45.92,0.656
85,17.79258906,0.002552244,45.94,0.653
86,21.67013138,0.002618778,46.19,0.65
87,32.23321708,0.004526722,45.74,0.647
88,21.67448141,0.005743986,50.39,0.643
89,30.92427598,0.000833481,46.19,0.64
90,18.72910162,0.00234764,46.31,0.637
91,27.41308275,0.00461865,46.72,0.634
92,33.50264975,0.002230325,46.3,0.631
93,12.8794863,0.002273993,47.02,0.627
94,10.50370635,0.001616359,46.67,0.624
95,9.263739964,0.00401845,47.24,0.621
96,26.74184385,0.001101917,46.43,0.618
97,18.39253049,0.002064133,47.61,0.615
98,6.880386617,0.001037602,46.87,0.612
99,30.4787246,0.003139733,46.8,0.609
100,5.2866556,0.002079946,46.59,0.606
101,25.71794901,0.006614141,47.06,0.603
102,12.96423501,0.00414153,47.06,0.6
103,18.992841,0.001715308,47.25,0.597
104,29.13724012,0.005115523,46.83,0.594
105,12.9329622,0.001126061,47.58,0.591
106,18.36836812,0.002123544,46.94,0.588
107,33.7218711,0.003400618,47.12,0.585
108,14.72188817,0.002335139,47.76,0.582
109,26.68869758,0.002885222,47.64,0.579
110,21.2791131,0.002994928,47.5,0.576
111,21.24085346,0.002746358,47.57,0.573
112,28.55706629,0.002494149,49.7,0.57
113,-2.348981952,0.00222909,48.57,0.568
114,27.47329089,0.002161224,47.59,0.565
115,33.92520543,0.00282864,48.22,0.562
116,30.39884451,0.008666903,47.78,0.559
117,14.83255722,0.002828456,48.16,0.556
118,21.19521644,0.003211,48.11,0.554
119,15.36544377,0.003165892,48.3,0.551
120,22.71816445,0.003205355,47.98,0.548
