Episode,Reward,Loss,Duration_s,Epsilon
1,10.77768389,0,0.31,0.995
2,27.16240346,0,0.14,0.99
3,23.6593817,0,0.22,0.985
4,25.52233995,0.008391669,21.37,0.98
5,16.76039915,0.003816358,32.49,0.975
6,11.84079784,0.002675584,33.01,0.97
7,30.32096843,0.002596926,34.18,0.966
8,34.50435974,0.006167913,35.22,0.961
9,27.06074204,0.006669081,35.69,0.956
10,19.51881666,0.012196415,35.92,0.951
11,24.81723382,0.003200338,35.87,0.946
12,27.3134374,0.003850804,38.06,0.942
13,20.15395976,0.006162847,36.26,0.937
14,29.25183684,0.006611412,38.48,0.932
15,20.09936162,0.002937151,41.99,0.928
16,19.33177286,0.001900355,41.76,0.923
17,11.02863218,0.003259004,41.88,0.918
18,23.87531021,0.00741761,41.98,0.914
19,12.8291028,0.001620068,42.31,0.909
20,29.00743095,0.002337042,42.17,0.905
21,4.905648855,0.003324995,42.47,0.9
22,19.26240847,0.002652243,42.16,0.896
23,28.49609763,0.003812006,42.46,0.891
24,9.498772103,0.004460977,42.45,0.887
25,22.39240894,0.001349384,42.94,0.882
26,15.22448641,0.000791836,42.93,0.878
27,16.96630377,0.003721259,42.78,0.873
28,21.3379662,0.001721443,42.68,0.869
29,30.5709281,0.001020882,42.1,0.865
30,16.88892421,0.002461281,37.61,0.86
31,27.21741953,0.001564834,36.88,0.856
32,11.73363707,0.002078463,37.1,0.852
33,15.46380236,0.003131763,65.24,0.848
34,29.10573833,0.001022359,75.86,0.843
35,9.304501895,0.002825151,69.91,0.839
36,24.43435844,0.006750426,69.4,0.835
37,23.13400438,0.002677927,69.83,0.831
38,8.973445115,0.005544102,67.02,0.827
39,25.24600492,0.001672882,62.17,0.822
40,8.458741553,0.008764616,63.57,0.818
41,13.20775735,0.001409838,66.15,0.814
42,21.98147,0.000699066,44.69,0.81
43,28.36885522,0.005990523,35.24,0.806
44,6.980054037,0.003895085,36.46,0.802
45,14.95549964,0.006825188,37.27,0.798
46,14.20053419,0.002401774,37.81,0.794
47,22.08862636,0.001510835,37.86,0.79
48,29.89484854,0.003866049,38.63,0.786
49,22.50261208,0.001625515,44.28,0.782
50,15.93955611,0.002141181,43.97,0.778
51,13.3451096,0.001553722,44.54,0.774
52,13.96415848,0.002778435,44.28,0.771
53,23.37101198,0.005885726,44.71,0.767
54,26.99733289,0.002568179,44.32,0.763
55,33.65224418,0.00223514,43.83,0.759
56,28.95230628,0.001345738,44.38,0.755
57,25.52123361,0.001934424,44.63,0.751
58,22.30692237,0.003415399,44.29,0.748
59,22.71632231,0.00115063,45.07,0.744
60,29.31179776,0.002151128,44.56,0.74
61,19.52213746,0.001479679,44.82,0.737
62,24.36791664,0.002573064,44.45,0.733
63,25.75504256,0.001625172,45.04,0.729
64,12.63139907,0.002307899,45.38,0.726
65,25.90295967,0.00066575,45.13,0.722
66,26.85507847,0.00285726,45.26,0.718
67,16.71899384,0.000616282,45.14,0.715
68,33.02321614,0.002464852,44.75,0.711
69,20.87722829,0.010331158,44.92,0.708
70,28.84389907,0.002327909,45.58,0.704
71,23.83614143,0.000640936,50.45,0.701
72,15.68213487,0.002526481,46.03,0.697
73,25.82510448,0.000662463,45.59,0.694
74,25.73366621,0.001048287,67.07,0.69
75,18.76857709,0.001205623,64.18,0.687
76,11.43810894,0.001041561,63.89,0.683
77,15.60548168,0.001957525,67.82,0.68
78,25.46646094,0.001765299,66.36,0.676
79,28.95900879,0.002846543,67.06,0.673
80,28.22098903,0.000536063,69.33,0.67
81,19.84457895,0.001021055,65.8,0.666
82,15.28556633,0.000656028,68.69,0.663
83,21.85565121,0.003904949,67.66,0.66
84,31.65568123,0.004884347,69.32,0.656
85,11.26993213,0.001300321,74.56,0.653
86,24.07484283,0.003719199,74.32,0.65
87,25.97193291,0.001072694,70.26,0.647
88,15.77806709,0.001830345,68.48,0.643
89,13.0359407,0.00305783,70.78,0.64
90,27.01063225,0.00096868,67.09,0.637
91,33.6607388,0.000511195,65.74,0.634
92,26.1892768,0.003215964,66.09,0.631
93,18.2175143,0.002512937,69.56,0.627
94,15.2857544,0.003028275,65.95,0.624
95,32.91696246,0.001257529,47.89,0.621
96,31.8966951,0.003278413,67.94,0.618
97,29.55017424,0.000757868,68.66,0.615
98,22.06470533,0.00136108,45.47,0.612
99,32.22689335,0.002272359,47.07,0.609
100,21.56359339,0.001969923,47.02,0.606
101,29.04853165,0.005252828,52.07,0.603
102,23.36539462,0.002300858,74.73,0.6
103,33.7516629,0.001002727,76.63,0.597
104,27.6315015,0.002113529,75.93,0.594
105,26.85247286,0.001009864,67.22,0.591
106,16.94693556,0.001083548,66.33,0.588
107,19.79337695,0.001632994,66.68,0.585
108,29.82335947,0.00340124,66.58,0.582
109,34.68570642,0.00299795,66.71,0.579
110,28.05298792,0.002839841,68.98,0.576
111,29.0897377,0.002754194,72.51,0.573
112,34.32475366,0.002072706,71.09,0.57
113,16.22338449,0.007013595,69.05,0.568
114,31.10957653,0.002242048,69.58,0.565
115,13.9952965,0.003880154,70.33,0.562
116,6.330856938,0.004413503,68.74,0.559
117,17.5498652,0.003097806,72.46,0.556
118,20.84563526,0.00332407,72.31,0.554
119,17.22715883,0.001805287,69.93,0.551
120,13.49154423,0.001880504,72.5,0.548
121,17.72306338,0.002560815,74.07,0.545
122,24.98561518,0.001783585,74.73,0.543
123,29.06771886,0.001425783,72.09,0.54
124,32.41746604,0.003102628,69.42,0.537
125,34.09706123,0.000614989,70.02,0.534
126,32.9983009,0.000683733,73.91,0.532
127,15.06119087,0.003594896,72.66,0.529
128,21.79445004,0.000655402,78.19,0.526
129,30.07964905,0.001917162,76.25,0.524
130,17.42397253,0.002764925,66.9,0.521
131,32.36130448,0.000598499,68.37,0.519
132,23.06605331,0.003891318,75.18,0.516
133,19.04743913,0.001978886,70.4,0.513
134,17.38562519,0.003191419,73.11,0.511
135,28.81573956,0.000820963,72.06,0.508
136,27.48749559,0.002542432,73.91,0.506
137,31.59416572,0.002023034,71.8,0.503
138,36.89834711,0.002752135,75.6,0.501
139,33.90389972,0.000678814,73.95,0.498
140,20.98332244,0.003446972,78.12,0.496
141,24.16518507,0.000367647,80.94,0.493
142,21.11276636,0.001598349,81.78,0.491
143,12.00585282,0.001730269,73.3,0.488
144,21.6085111,0.000901099,75.35,0.486
145,24.1942293,0.001354281,73.62,0.483
146,24.76363666,0.000730427,72.35,0.481
147,18.33906342,0.001717542,80,0.479
148,28.88585152,0.00259712,84.45,0.476
149,27.88149325,0.000944788,81.65,0.474
150,22.47798851,0.001723186,85.4,0.471
151,29.11138159,0.001903057,82.33,0.469
152,33.43868051,0.000532173,81.28,0.467
153,37.71577017,0.003546093,79.65,0.464
154,19.92663641,0.000276153,80.3,0.462
155,15.03462068,0.000764632,83.32,0.46
156,31.44784677,0.001345528,83.66,0.458
157,25.41185368,0.002689928,82.79,0.455
158,12.24497422,0.000404247,83.91,0.453
159,32.99325864,0.000683872,86.36,0.451
160,18.1068379,0.000750318,77.37,0.448
161,15.63616056,0.002071326,46.31,0.446
162,20.33653169,0.001095253,47.51,0.444
163,27.26872101,0.001224792,48.23,0.442
164,26.95497663,0.00056192,48.79,0.44
165,23.10293494,0.001968448,58.46,0.437
166,21.95131649,0.002930477,141.52,0.435
167,30.57428952,0.002233707,141.24,0.433
168,18.10614684,0.006418862,142.69,0.431
169,35.44959031,0.001502459,141.92,0.429
170,36.34209137,0.002122995,141.64,0.427
171,18.25676285,0.00287222,144.31,0.424
172,25.02465712,0.000488875,142.37,0.422
173,20.16427003,0.00184067,142.77,0.42
174,31.14327777,0.001457812,143.64,0.418
175,33.77273757,0.001656253,143.38,0.416
176,37.59611853,0.001834283,141.42,0.414
177,27.80608062,0.001348087,144.4,0.412
178,33.52701432,0.002496166,142.96,0.41
179,32.19121106,0.000578824,142.12,0.408
180,29.3015802,0.00075276,142.21,0.406
181,21.25575363,0.000717943,144.86,0.404
182,22.14021332,0.00035851,142.5,0.402
183,25.13516399,0.001132114,143.23,0.4
184,25.21577753,0.000651914,143.01,0.398
185,28.16236373,0.00028134,142.73,0.396
186,27.12191525,0.001628971,100.12,0.394
187,26.61475036,0.001997428,46.16,0.392
188,31.91274311,0.003451138,45.33,0.39
189,40.02337183,0.002983621,47.13,0.388
190,19.37938122,0.000484898,49.23,0.386
191,19.8622257,0.001471616,134.46,0.384
192,20.97441166,0.002869074,156.9,0.382
193,30.97764151,0.006532608,147.31,0.38
194,23.87152734,0.003512815,140.53,0.378
195,34.90685791,0.000300138,114.23,0.376
196,36.7402819,0.001533487,141.83,0.374
