Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,25.93,5.82,11.28001976,44.46539688,1.845933676,0,0.98
2,10.9,1.14,2.315983534,15.40300465,1.905212164,0,0.81
3,23.6,4.95,9.062865257,32.87396622,1.929700136,0,0.81
4,33.55,8.05,14.00232601,61.13755035,1.909830093,0,0.79
5,17.7,3.62,4.964433193,11.27166176,1.912194014,0,0.99
6,19.9,4,5.456021309,17.73880196,1.915346861,0,1.05
7,20.27,4.28,6.105239868,16.83875656,1.934838414,0,0.93
8,13.86,2.49,2.699816942,6.068346977,1.917800665,0,0.88
9,19.46,3.96,4.827715397,13.44021034,1.925715327,0,0.99
10,23.66,4.98,7.222809315,21.80513191,1.931617022,0,0.87
11,20.54,4.12,3.555340528,11.81398487,1.92229712,0,1.05
12,12.67,1.91,-0.286326885,7.039281368,1.908405185,0,0.92
13,24.74,5.36,5.42402935,13.17445374,1.933138847,0,0.85
14,24,5.11,6.633912086,19.17841721,1.927737474,0,0.85
15,11.42,1.78,-1.709998727,8.161172867,1.930817485,0,1.06
16,21.91,4.74,3.434103966,10.01820755,1.934569478,0,0.94
17,3.25,-0.85,-5.862732887,19.33512497,1.926420689,0,1.01
18,13.38,2.3,-2.741535902,8.00639534,1.931017637,0,1.01
19,9.27,0.88,-3.318915844,14.12675762,1.924250484,0,1.05
20,18.06,3.73,-0.690034032,4.067102432,1.922097206,0,1.05
21,29.45,6.88,3.505006552,14.92544937,1.903398275,0,1
22,25.2,5.42,4.544836044,12.66938686,1.919121504,0,0.89
23,32.29,7.62,7.781929016,21.79159737,1.92567265,0,0.81
24,25.51,5.63,4.26400423,12.35881996,1.929220319,0,0.89
25,29.78,6.73,3.64318943,8.409983635,1.916083574,0,0.9
26,20.81,4.3,0.143634632,4.345413208,1.928988695,0,1.04
27,31.84,7.29,6.668437958,17.86491966,1.925640702,0,0.79
28,30.02,6.75,5.153642654,10.38144493,1.924388409,0,0.86
29,15.54,3.01,-0.19834502,0.785025358,1.935044169,0,1.06
30,18.43,3.67,-0.177889153,2.153903961,1.933160424,0,1.02
31,31.2,7.16,4.753513336,9.937990189,1.927381039,0,0.86
32,28.75,6.52,2.007583141,4.474194527,1.938224673,0,0.9
33,24.07,5.24,2.205770493,2.583665609,1.920380235,0,0.85
34,22.56,4.89,0.552285731,1.069399357,1.938890219,0,0.94
35,25.75,5.69,2.174196243,2.12129283,1.925217509,0,0.81
36,33.24,7.81,-1.397614956,5.784761906,1.904549956,0,0.77
37,17.83,3.53,-1.708918095,1.967101455,1.937421441,0,1.04
38,22.99,5.06,-2.501193047,4.067770958,1.935572267,0,0.97
