Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,30.677,0.996,0.79,300,0.108374
2,10.278,0.992,0.93,600,0.056686
3,33.285,0.988,0.09,900,0.115335
4,8.953,0.984,0.53,1200,0.061362
5,22.689,0.98,0.36,1500,0.077426
6,12.482,0.976,0.46,1800,0.055567
7,20.949,0.972,0.39,2100,0.079344
8,30.317,0.968,0.25,2400,0.112996
9,20.325,0.965,0.4,2699,0.075037
10,30.68,0.961,0.11,2999,0.110707
11,30.482,0.957,0.19,3299,0.106865
12,27.257,0.953,0.21,3599,0.104207
13,29.735,0.949,0.11,3898,0.112085
14,15.959,0.945,0.49,4198,0.057365
15,13.225,0.942,0.46,4497,0.054806
16,31.562,0.938,0.23,4797,0.110692
17,29.253,0.934,0.19,5097,0.102608
18,20.618,0.93,0.48,5397,0.075752
19,23.152,0.927,0.33,5697,0.081042
20,30.82,0.923,0.15,5997,0.104701
21,31.542,0.919,0.12,6297,0.1128
22,34.174,0.916,0.12,6597,0.117753
23,15.107,0.912,0.42,6896,0.058316
24,15.703,0.908,0.45,7196,0.069145
25,27.9,0.905,0.26,7495,0.104989
26,31.297,0.901,0.27,7795,0.109277
27,13.942,0.897,0.5,8095,0.062757
28,34.548,0.894,0.14,8395,0.123255
29,28.43,0.89,0.21,8695,0.101144
30,23.201,0.887,0.42,8995,0.078797
31,17.093,0.883,0.58,9294,0.069607
32,24.593,0.88,0.32,9593,0.084909
33,20.172,0.876,0.57,9893,0.070733
34,34.38,0.873,0.17,10192,0.123668
35,27.283,0.869,0.36,10492,0.093791
36,22.329,0.866,0.48,10792,0.078852
37,29.221,0.862,0.27,11092,0.103131
38,32.928,0.859,0.2,11391,0.114026
39,13.401,0.855,0.61,11691,0.059932
40,12.17,0.852,0.58,11991,0.057965
41,31.812,0.848,0.37,12291,0.111495
42,33.734,0.845,0.27,12591,0.114956
43,14.905,0.842,0.49,12891,0.064266
44,24.022,0.838,0.51,13191,0.081666
45,21.18,0.835,0.47,13490,0.078443
46,27.865,0.832,0.39,13790,0.099752
47,35.4,0.828,0.19,14089,0.130527
48,10.764,0.825,0.64,14389,0.054604
49,11.397,0.822,0.62,14689,0.056257
50,30.372,0.818,0.27,14989,0.107085
51,33.449,0.815,0.27,15289,0.112766
52,22.228,0.812,0.43,15589,0.075184
53,16.257,0.809,0.53,15889,0.067963
54,13.745,0.805,0.64,16189,0.060799
55,24.057,0.802,0.53,16489,0.081759
56,13.306,0.799,0.73,16789,0.054948
57,30.673,0.796,0.49,17088,0.10549
58,23.652,0.793,0.65,17388,0.079944
59,11.928,0.789,0.84,17688,0.062111
60,27.858,0.786,0.56,17987,0.099578
