Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
1,-49.34239539921358,300,95.82,0.163705,15314.142019,0.011726,0.0,1.0,-249.2963
2,-104.29726254385349,300,42.8,-0.002195,22512.261655,0.01,0.0,1.0,-319.74176
3,-100.74206988297897,300,44.95,-0.00096,27351.28403,0.01,0.0,1.0,-355.68735
4,-101.86737715146806,300,45.78,-0.003015,28313.708711,0.01,-0.0,1.0,-357.4778
5,-107.89310588401493,300,48.25,-0.000533,17916.637302,0.01,-0.0,1.0,-275.10333
6,-110.53864342727978,300,46.4,-0.000496,16160.050005,0.01,0.0,1.0,-253.6334
7,-106.14910291728471,300,50.76,-0.00204,21797.264531,0.01,0.0,1.0,-305.99033
8,-102.93804095735912,300,55.32,0.001394,24707.562134,0.01,-0.0,1.0,-336.4598
9,-95.23951961338334,300,52.29,3.5e-05,38821.953945,0.01,0.0,1.0,-438.22015
10,-117.37362877021965,300,51.86,-0.004216,8525.250267,0.01,-0.0,1.0,-166.73602
11,-101.50580307739402,300,51.81,-0.001821,28839.749648,0.01,-0.0,1.0,-358.1993
12,-115.46568717477804,300,51.74,0.000505,10105.512715,0.01,0.0,1.0,-193.1163
13,-95.66179216406495,300,51.19,-0.001959,38501.978286,0.01,-0.0,1.0,-430.76605
14,-94.15330931694571,300,51.58,-0.002394,40825.414902,0.01,-0.0,1.0,-443.61142
15,-100.39653734312824,300,51.55,0.00196,28230.728594,0.01,0.0,1.0,-363.42963
16,-92.92787137105317,300,51.29,0.001057,37776.75749,0.01,0.0,1.0,-432.24786
17,-102.11832103082106,300,51.34,0.001685,24707.655801,0.01,0.0,1.0,-340.40808
18,-104.63133844270209,300,51.3,-0.000584,22304.872588,0.01,-0.0,1.0,-314.10095
19,-93.42171540580631,300,51.56,0.000818,38176.424639,0.01,0.0,1.0,-433.96402
20,-115.54729462456739,300,54.63,0.00485,10620.504855,0.01,0.0,1.0,-194.72351
21,-102.13836971109693,300,51.9,0.001781,25811.197988,0.01,0.0,1.0,-341.04358
22,-101.7373092816275,300,51.65,0.000137,26068.192666,0.01,-0.0,1.0,-348.44363
23,-95.34434467048101,300,52.69,0.000987,40362.538137,0.01,-0.0,1.0,-443.92874
24,-96.30243754561931,300,51.4,-0.003244,37521.521924,0.01,0.0,1.0,-422.2708
25,-95.17171246262151,300,55.32,0.000503,41016.811904,0.01,-0.0,1.0,-449.32715
26,-94.05214675896495,300,52.3,-0.005278,39055.44207,0.01,-0.0,1.0,-435.25043
27,-99.7621518212427,300,51.74,-0.005659,32297.716406,0.01,-0.0,1.0,-381.36166
28,-108.86424324833422,300,51.79,-0.004926,16626.920674,0.01,-0.0,1.0,-263.8988
29,-95.46607390925573,300,51.8,0.002808,38951.577126,0.01,0.0,1.0,-441.17822
30,-106.78403381130661,300,51.81,-0.00204,19524.916287,0.01,0.0,1.0,-290.32028
31,-104.06652480516108,300,52.24,-0.000131,23656.209824,0.01,0.0,1.0,-326.43744
32,-93.58560900379082,300,52.04,0.000429,39452.715239,0.01,-0.0,1.0,-439.64417
33,-99.05748805066982,300,51.97,0.002967,31141.619727,0.01,0.0,1.0,-380.81534
34,-114.15351121942037,300,52.15,0.000568,10678.569673,0.01,-0.0,1.0,-201.77977
35,-111.74646523510157,300,52.05,0.003324,13392.644481,0.01,-0.0,1.0,-231.96872
36,-100.1022771420498,300,51.8,-0.000563,30529.132732,0.01,0.0,1.0,-376.8615
37,-111.15411987002896,300,51.93,-0.00507,14620.13769,0.01,0.0,1.0,-242.70477
38,-114.30203844976565,300,52.32,-0.000261,11109.599641,0.01,0.0,1.0,-206.5182
39,-104.2992350662805,300,51.86,-0.000524,22804.619739,0.01,-0.0,1.0,-321.08243
40,-100.85192572578933,300,52.09,-0.001579,28302.029687,0.01,0.0,1.0,-358.22888
41,-110.47868898777996,300,52.16,-0.003612,16322.51168,0.01,0.0,1.0,-256.45105
42,-94.98245302677124,300,51.54,-0.000948,39122.831299,0.01,0.0,1.0,-441.5418
43,-112.02835169880628,300,52.15,-0.002642,13903.198105,0.01,0.0,1.0,-232.53188
