Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-35.77,-11.85,-21.79412079,177.7268982,1.860765219,0,4.08
2,-34.48,-11.83,-22.0098114,189.0633392,1.904151201,0,3.23
3,-29.97,-10.67,-20.02948761,158.6502228,1.91475606,0,3.18
4,-40.89,-13.61,-24.70348167,227.2841339,1.877381563,0,3.59
5,-45.04,-14.73,-26.5232048,257.5741882,1.900338769,0,3.68
6,-42.77,-13.87,-24.08234596,209.483139,1.904147148,0,3.16
7,-24.77,-9.21,-15.4377079,118.4299622,1.893533111,0,3.03
8,-24.04,-8.84,-14.16547775,105.8136826,1.876337647,0,3.08
9,-43.76,-14.12,-22.58909225,206.8143616,1.831884146,0,3.7
10,-39,-12.95,-20.59772873,177.1994324,1.887902617,0,3.6
11,-37.32,-12.43,-18.89355087,157.483078,1.83810389,0,3.45
12,-42.97,-14.1,-21.14466667,185.5163727,1.892873883,0,3.4
13,-22.58,-8.42,-11.18040657,85.39335632,1.883281827,0,3.04
14,-39.93,-13.05,-18.87581635,157.5063477,1.848825336,0,3.11
15,-17.28,-7.1,-7.742983341,69.91372681,1.882395387,0,2.96
16,-32.47,-11.24,-14.70690632,124.2138138,1.874273419,0,3.2
17,-36.04,-12.15,-16.68154716,142.4168091,1.871707797,0,3.57
18,-37.35,-12.53,-15.78025818,133.2161865,1.851650834,0,3.41
19,-34.37,-11.92,-14.54323959,128.0965424,1.886129379,0,3.12
20,-17.81,-7.11,-5.221875668,59.12286377,1.86624527,0,3.04
21,-42.71,-14.06,-17.03855324,153.3746796,1.842419863,0,3.69
22,-22.18,-8.4,-6.267848492,66.31845856,1.884445786,0,3.09
23,-47.04,-15.24,-17.62692642,169.9443512,1.873479247,0,3.74
24,-23.78,-8.85,-6.807426453,69.5821228,1.882609248,0,3.11
25,-22.16,-8.26,-4.615170002,54.20389938,1.858893394,0,3.03
26,-48.03,-15.51,-14.69743347,146.3684845,1.895555615,0,3.68
27,-35.76,-12.38,-8.70621109,94.35185242,1.89334774,0,3.28
28,-29.24,-10.38,-6.703810692,75.36476898,1.892141104,0,3.08
29,-20.86,-8.01,-1.463328838,48.49868393,1.899322748,0,3.08
30,-34.59,-11.62,-6.747204781,75.42784882,1.828181744,0,3.35
31,-24.79,-9.2,-1.625458956,58.27310562,1.89967382,0,3.18
