Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-53.53,-16.65,-30.0212059,302.4755859,1.865816593,0,1.1
2,-51.53,-16.55,-30.54906654,314.9620361,1.915092111,0,1.19
3,-57.11,-18.26,-33.43929672,385.3429871,1.911917925,0,0.98
4,-67,-20.71,-37.60734177,465.112854,1.918810248,0,1.07
5,-47.69,-15.55,-27.74671555,277.9865417,1.917145371,0,0.84
6,-61.44,-19.16,-33.7032814,377.991272,1.918618321,0,1.13
7,-44.52,-14.47,-25.03638077,226.3595123,1.918265343,0,1.17
8,-38,-12.82,-21.26700211,181.7635345,1.921599269,0,1.01
9,-54.12,-16.87,-28.71743202,287.8748474,1.917092443,0,0.95
10,-47.36,-15.44,-24.58872986,234.2186432,1.914492846,0,0.94
11,-52.7,-16.72,-26.90971565,269.9725342,1.915069818,0,1.05
12,-46.16,-14.78,-23.0313549,207.4679413,1.916926265,0,1.19
13,-70.29,-21.32,-32.80612564,382.5570984,1.91686523,0,1.19
14,-57.94,-17.84,-27.81789207,282.8317566,1.916185141,0,0.98
15,-48.74,-15.5,-22.49298668,210.2386017,1.903672099,0,0.84
16,-42.97,-14.37,-18.72759056,180.1776276,1.909082294,0,0.92
17,-56.22,-17.67,-24.06138992,246.5759125,1.919432402,0,1.04
18,-51.03,-16.38,-20.29155922,199.6759186,1.914269209,0,0.99
19,-57.81,-18.21,-22.33002472,237.0211792,1.915195107,0,1.15
20,-48.37,-15.75,-16.8274231,177.9584045,1.910685062,0,0.97
21,-48.08,-15.53,-17.57913589,177.1232758,1.912076235,0,0.93
22,-54.84,-17.32,-16.43532372,174.7120361,1.905993223,0,1.32
23,-55.99,-17.71,-19.09789085,210.9265442,1.917570949,0,0.95
24,-45.76,-15.04,-13.28364563,156.2508087,1.912745357,0,0.93
25,-47.12,-15.43,-11.34506226,147.6367645,1.912368536,0,0.97
26,-44.6,-14.44,-11.18434143,123.8427734,1.912122846,0,0.81
27,-40.82,-13.69,7.834041119,171.0151367,1.52345407,0,0.9
28,-30.03,-10.64,-3.565272808,88.32323456,1.918326259,0,0.98
29,-46.27,-15.22,-9.447302818,130.9513702,1.923305631,0,0.91
30,-52.77,-16.68,-13.52398872,152.0778961,1.922494888,0,0.85
31,-43.27,-14.29,-3.347869873,115.9139709,1.919905782,0,1.03
32,-55.42,-17.65,-11.65071678,162.6299438,1.92278707,0,1
33,-44.51,-14.51,-8.129939079,100.1194916,1.915373087,0,0.8
34,-41.13,-13.85,-4.219686031,112.4154053,1.920022607,0,0.99
35,-56.67,-17.92,-9.810483932,157.9818573,1.921803355,0,1.03
36,-39.1,-13.2,-2.769015074,98.76535034,1.920812607,0,1.09
37,-32.79,-11.53,0.21358183,86.92120361,1.919246435,0,0.81
38,-36.81,-12.55,-1.643299699,81.1728363,1.916977167,0,0.86
39,-45.22,-14.8,-6.001634598,100.5133896,1.923086166,0,0.89
40,-56.89,-17.84,-6.125063419,144.4719543,1.922406435,0,1.06
41,-50.74,-16.17,-8.011175156,90.84590149,1.914724708,0,0.89
42,-36.53,-12.3,-1.889544964,68.86484528,1.922049165,0,1.03
43,-49.03,-15.74,-5.067523956,107.1662369,1.925189853,0,0.98
44,-38.5,-13.02,-2.711527824,59.70276642,1.916100621,0,0.8
45,-36.87,-12.68,-1.051525712,85.4127121,1.91928041,0,1.07
46,-56.74,-17.94,-9.143733025,123.8188705,1.92378521,0,0.98
47,-58.74,-18.22,-11.77121735,125.6831894,1.925323725,0,1.22
48,-68.48,-20.89,-14.93519306,159.1084137,1.925102949,0,1.08
49,-53.25,-17.02,-8.532316208,96.76965332,1.920241475,0,1.05
50,-36.53,-12.47,-2.442166567,63.77009583,1.92177248,0,0.95
51,-60.24,-18.87,-11.49093723,109.7872009,1.921141982,0,1.06
52,-48.05,-15.32,-6.005281925,57.47265625,1.921969414,0,1.03
53,-50.56,-16.31,-6.097414494,85.9384613,1.918847442,0,1.09
54,-50.73,-16.35,-7.850509644,84.18655396,1.923530459,0,1
55,-34.93,-12.03,0.302346408,49.72647858,1.919646859,0,0.84
56,-43.18,-14.23,-3.523977757,57.60626984,1.923243642,0,0.96
57,-35.69,-12.16,0.511760473,43.15887451,1.920458794,0,1.04
58,-19.43,-7.68,5.322052956,49.75325012,1.914351344,0,0.91
59,-41.95,-13.77,-0.223170891,26.35136414,1.918823481,0,0.79
60,-38.42,-12.88,-1.288510323,41.31590652,1.920142055,0,0.88
61,-35.92,-12.19,-0.359781235,35.94187927,1.922204375,0,0.88
62,-48.7,-15.76,-7.157095909,63.20239639,1.921296954,0,1.15
63,-37.22,-12.65,0.594336152,25.84539604,1.917622924,0,1.04
64,-34.95,-11.95,0.240437105,26.92917061,1.91770041,0,0.9
65,-32.57,-11.22,0.507905185,21.34042931,1.92024684,0,0.82
66,-40.45,-13.49,-0.783864021,18.93372154,1.918999076,0,0.87
67,-47.43,-15.43,-7.260514259,55.36560059,1.919914365,0,1.01
68,-45.58,-14.75,-6.993748665,51.68999481,1.921541572,0,1.21
69,-50.22,-16.13,-10.48526096,70.3270874,1.920572519,0,0.99
70,-41.44,-13.88,-4.634208679,33.83060074,1.918300748,0,0.99
71,-35.57,-12.15,0.802853942,13.65135288,1.919001698,0,0.82
